rel_month,Coef,SE,CI_lo,CI_hi,t,p,N,Specification
-9,-0.0044630974007560525,0.008389150285946608,-0.020905831961211405,0.0119796371596993,-0.5320082783869748,0.5947444355599871,223473,binary_fm
-8,0.002632266451258293,0.00805342099763052,-0.013152438704097526,0.01841697160661411,0.3268507199651874,0.7437947874107032,223473,binary_fm
-7,0.004031206818251259,0.007571224309528339,-0.010808392828424286,0.018870806464926802,0.5324379061360011,0.5944469335251217,223473,binary_fm
-6,0.00125124199354372,0.007394721426008333,-0.013242412001432613,0.015744895988520052,0.16920745508315108,0.8656404662415795,223473,binary_fm
-5,-0.008905547141806925,0.006407932435258735,-0.02146509471491405,0.003654000431300196,-1.3897692011865515,0.16466225150703373,223473,binary_fm
-4,-0.004088688137372534,0.005823960103496714,-0.015503649940226093,0.007326273665481025,-0.7020460416474488,0.48268387073512065,223473,binary_fm
-3,0.012387031252463276,0.004598587872930033,0.0033737990215204107,0.02140026348340614,2.6936597918201275,0.0070913536813108635,223473,binary_fm
-2,0.013104634201713707,0.003357394911509864,0.006524140175154373,0.019685128228273042,3.9032150066077222,9.62006535836224e-05,223473,binary_fm
-1,0.0,0.0,0.0,0.0,,,223473,binary_fm
0,-0.0013864462836851586,0.004548024173283755,-0.010300573663321318,0.007527681095951002,-0.3048458475285807,0.7604965371342285,223473,binary_fm
1,0.0012872588233123908,0.005761821130001701,-0.010005910591490943,0.012580428238115723,0.22341179885117518,0.8232243562642021,223473,binary_fm
2,0.006598862730954849,0.005990030490718696,-0.005141597030853795,0.018339322492763495,1.1016409250636559,0.27067203964064235,223473,binary_fm
3,0.0009186282671869392,0.006082627470409601,-0.011003321574815879,0.012840578109189756,0.15102491014875177,0.8799622965440486,223473,binary_fm
4,-0.000751424473340203,0.006032810473526446,-0.012575733001452037,0.011072884054771632,-0.12455628709664435,0.9008799573755595,223473,binary_fm
5,0.006581021950969421,0.005962937673703493,-0.005106335889489425,0.018268379791428264,1.1036543246111181,0.2697974342559466,223473,binary_fm
6,0.004881536837598946,0.006090353470505263,-0.00705555596459137,0.01681862963978926,0.8015194620869792,0.422869934654178,223473,binary_fm
7,0.014508272173862097,0.006252154181202083,0.002254049978706015,0.026762494369018182,2.3205237352404247,0.02035351027890142,223473,binary_fm
8,0.029948507058516323,0.005743648500368295,0.018690955997794467,0.04120605811923818,5.214195655704899,1.9222619718206602e-07,223473,binary_fm
9,0.04602438509092008,0.006205392674577662,0.03386181544874786,0.058186954733092294,7.416836855381193,1.4077627952246985e-13,223473,binary_fm
10,0.04496072294472543,0.006098730672519705,0.03300721082658681,0.056914235062864055,7.372144362320201,1.9606538614880265e-13,223473,binary_fm
11,0.04466761335148616,0.006100638932946314,0.03271036104291139,0.05662486566006093,7.321792658513206,2.8466118351389014e-13,223473,binary_fm
12,0.043295354678142765,0.0060173246349158474,0.031501398393707705,0.055089310962577825,7.195116983870067,7.187583861423263e-13,223473,binary_fm
13,0.04318519175671894,0.006001093057668056,0.03142304936368955,0.05494733414974833,7.196220978699525,7.129852264142755e-13,223473,binary_fm
14,0.04191060169548954,0.0060480248431929685,0.030056473002831322,0.05376473038814776,6.929634514094263,4.766631533925647e-12,223473,binary_fm
15,0.03448045397649287,0.006518146550206324,0.021704886738088472,0.04725602121489726,5.289916958894002,1.2771084678675493e-07,223473,binary_fm
16,0.02141129339854956,0.006710430708261929,0.008258849210356179,0.03456373758674294,3.190748005517414,0.0014280256286216542,223473,binary_fm
17,0.01752280702864022,0.006827632434029168,0.004140647457943051,0.03090496659933739,2.5664543599778327,0.010303927786448286,223473,binary_fm
18,0.01913610363581111,0.0071801207215838655,0.005063067021506735,0.03320914025011548,2.6651506816991053,0.007720672721322819,223473,binary_fm
19,0.022561090692086457,0.007297745052878748,0.008257510388444111,0.0368646709957288,3.0915153281747987,0.002002589167024338,223473,binary_fm
20,-0.025470861877370146,0.007854527960896451,-0.04086573668072719,-0.010075987074013103,-3.2428252855137982,0.0011914551845761956,223473,binary_fm
21,-0.04318865843861567,0.008233227937616844,-0.05932578519634468,-0.027051531680886653,-5.24565319530275,1.6230247701365386e-07,223473,binary_fm
22,-0.002030103040248801,0.008008451905501033,-0.017726668775030825,0.013666462694533225,-0.2534950654887889,0.7998963327257513,223473,binary_fm
23,0.005193993784312711,0.008195837964188145,-0.010869848625496054,0.021257836194121478,0.6337355383315234,0.5262830743915954,223473,binary_fm
