bootstrap_id,feature,label,rank,mean_abs_shap
31,kw_data_stock_p10k,数据存量,3,0.005467203196170184
31,kw_data_dev_p10k,数据开发能力,1,0.006519694244722686
31,kw_data_app_p10k,数据驱动应用,2,0.0056044413181146726
31,kw_data_value_p10k,数据价值变现,5,0.0015782688288320146
31,kw_data_gov_p10k,数据治理,4,0.00292545739283891
32,kw_data_stock_p10k,数据存量,2,0.005815095466688503
32,kw_data_dev_p10k,数据开发能力,1,0.006398658642872848
32,kw_data_app_p10k,数据驱动应用,3,0.0055701030328567935
32,kw_data_value_p10k,数据价值变现,5,0.0019343959264553636
32,kw_data_gov_p10k,数据治理,4,0.0027293737136250633
33,kw_data_stock_p10k,数据存量,3,0.005420199745767309
33,kw_data_dev_p10k,数据开发能力,2,0.005837939388907627
33,kw_data_app_p10k,数据驱动应用,1,0.00633235358855735
33,kw_data_value_p10k,数据价值变现,5,0.0019551172736048538
33,kw_data_gov_p10k,数据治理,4,0.0026915385067488194
34,kw_data_stock_p10k,数据存量,3,0.005360236241583988
34,kw_data_dev_p10k,数据开发能力,1,0.005909249670867512
34,kw_data_app_p10k,数据驱动应用,2,0.005697691619838476
34,kw_data_value_p10k,数据价值变现,5,0.0016524266326149331
34,kw_data_gov_p10k,数据治理,4,0.002286614283998516
35,kw_data_stock_p10k,数据存量,3,0.004741577456309763
35,kw_data_dev_p10k,数据开发能力,1,0.007605687588621722
35,kw_data_app_p10k,数据驱动应用,2,0.005742898684789642
35,kw_data_value_p10k,数据价值变现,5,0.0010705802881744591
35,kw_data_gov_p10k,数据治理,4,0.0019203480259436733
36,kw_data_stock_p10k,数据存量,3,0.004712379951401228
36,kw_data_dev_p10k,数据开发能力,1,0.006184875229996909
36,kw_data_app_p10k,数据驱动应用,2,0.006173068723152062
36,kw_data_value_p10k,数据价值变现,5,0.0014402429669675588
36,kw_data_gov_p10k,数据治理,4,0.002865451553784989
37,kw_data_stock_p10k,数据存量,3,0.005366862634576824
37,kw_data_dev_p10k,数据开发能力,1,0.005852623827389829
37,kw_data_app_p10k,数据驱动应用,2,0.005396440085919688
37,kw_data_value_p10k,数据价值变现,4,0.002067813532378518
37,kw_data_gov_p10k,数据治理,5,0.0020536972252830927
38,kw_data_stock_p10k,数据存量,3,0.005531931739648131
38,kw_data_dev_p10k,数据开发能力,1,0.005888590805161202
38,kw_data_app_p10k,数据驱动应用,2,0.005739865422210276
38,kw_data_value_p10k,数据价值变现,5,0.0016625153537049421
38,kw_data_gov_p10k,数据治理,4,0.0025100710770982367
39,kw_data_stock_p10k,数据存量,3,0.004959770093807103
39,kw_data_dev_p10k,数据开发能力,1,0.005165413378649289
39,kw_data_app_p10k,数据驱动应用,2,0.005131400218741431
