group,outcome,exposure,coef,p,near_leads_p,post0_p,post1_p,post2p_p,direction,verdict
B_supply_chain,SuppConc,private_highlev_pre,0.6559526430751451,0.21853710573276763,,,,,ambiguous,weak_base
B_supply_chain,SuppConc,natural_highlev_pre,0.7820348263478124,0.28445540666041746,,,,,ambiguous,weak_base
B_supply_chain,SuppConc,failure_cost_pre,-1.0489721672994616,0.3215189568185495,,,,,ambiguous,weak_base
B_supply_chain,SCConc,private_pre,0.4452026685595069,0.6848486961240774,,,,,ambiguous,weak_base
B_supply_chain,SCConc,natural_pre,0.4144131161649004,0.6234913918520291,,,,,ambiguous,weak_base
B_supply_chain,SCConc,high_lev_pre,-0.19316811163106984,0.8273576360536545,,,,,ambiguous,weak_base
B_supply_chain,SCConc,private_highlev_pre,0.36941992699051157,0.372945388938408,,,,,ambiguous,weak_base
B_supply_chain,SCConc,natural_highlev_pre,0.1773811978211148,0.6966727117113098,,,,,ambiguous,weak_base
B_supply_chain,SCConc,failure_cost_pre,0.26527499854505987,0.7724158992628141,,,,,ambiguous,weak_base
B_supply_chain,CustHHI,private_pre,0.18051134061036628,0.8102963854552021,,,,,ambiguous,weak_base
B_supply_chain,CustHHI,natural_pre,-0.39392312767778137,0.5782663550074667,,,,,ambiguous,weak_base
B_supply_chain,CustHHI,high_lev_pre,-0.6092459228121451,0.06018297467900635,0.8488064182677378,0.6257661833203529,0.010411058830036346,0.5828481946513471,ambiguous,dynamic_pass
B_supply_chain,CustHHI,private_highlev_pre,-0.1923121920702967,0.6904664044349298,,,,,ambiguous,weak_base
B_supply_chain,CustHHI,natural_highlev_pre,-0.5596178865433499,0.1723639126752443,,,,,ambiguous,weak_base
B_supply_chain,CustHHI,failure_cost_pre,-1.122516917653405,0.1887033071872286,,,,,ambiguous,weak_base
