outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,weak_proxy,coef_strict,p_strict,sig_strict,n_strict,treated_x_obs_strict,clusters_city_strict,near_leads_p,all_leads_p,event0_coef,event0_p,lag1_coef,lag1_p,lag2p_coef,lag2p_p,decision,note
NegAccrual,natural_pre,main_fe,ok,0.011472204763021694,0.0020134469073832943,5.697793530563536,3.340065313217622e-08,***,26541,997,406,0.03931797892069554,False,0.010302873877227371,9.413117369105883e-05,***,26541,997,406,0.3976316400895338,0.5908460727119726,0.004450370017583155,0.25748198928199306,0.0064763050434320565,0.37319505885356863,-0.0009351292810126275,0.871595052607095,candidate,基准、ExposureGroup-Year FE 与近端前趋势同时过关，可进入下一轮。
NegAccrual,failure_cost_pre,main_fe,ok,0.016453579965161433,0.004756273251731477,3.4593428708436087,0.0006345066247257503,***,26541,1210,406,0.03931797892069554,False,0.014805929194756194,0.0005014485090069076,***,26541,1210,406,0.5101028483473776,0.5370820679391677,0.0006218062342300197,0.9423313881057258,0.009646867565944428,0.2838197518814556,-0.0008080013770273194,0.9356723583391973,candidate,基准、ExposureGroup-Year FE 与近端前趋势同时过关，可进入下一轮。
NegAccrual,high_lev_pre,main_fe,ok,0.005924484468659401,0.004264214953100909,1.3893493958017185,0.1659384906912198,,26541,595,406,0.03931797892069554,False,0.0032388765207507866,0.4333917222857513,,26541,595,406,,,,,,,,,no_signal,当前本地数据下没有可用信号。
NegAccrual,natural_highlev_pre,main_fe,ok,0.010170250249394351,0.004566663774876598,2.2270635086703257,0.026816497465705913,**,26541,400,406,0.03931797892069554,False,0.006537038555387051,0.16565194549843332,,26541,400,406,,,,,,,,,base_only,只有基准显著，不能直接写。
NegAccrual,private_highlev_pre,main_fe,ok,0.010069707926877912,0.004092337098400642,2.4606252331493734,0.014533013286848195,**,26541,410,406,0.03931797892069554,False,0.00674663287197397,0.12701769621640957,,26541,410,406,,,,,,,,,base_only,只有基准显著，不能直接写。
ConservAccrual,natural_pre,main_fe,ok,0.017957379409378738,0.0026680985487506858,6.730403349526624,1.1112488706999102e-10,***,26541,997,406,0.01843847200569358,False,0.016514641259743047,1.0720076067061157e-05,***,26541,997,406,0.17967481650816858,0.309239414998189,0.0013194431594438678,0.8245949817400078,0.010533215352591364,0.32083197260704255,0.004046020650650488,0.6507085387657061,candidate,基准、ExposureGroup-Year FE 与近端前趋势同时过关，可进入下一轮。
ConservAccrual,failure_cost_pre,main_fe,ok,0.022081094853880615,0.005974205511951568,3.6960721906380285,0.00026801847872137685,***,26541,1210,406,0.01843847200569358,False,0.015999442899040043,0.004493602904518834,***,26541,1210,406,0.35802934940147707,0.5515209459544397,-0.009415821913976495,0.48644978443586684,0.011061143782794046,0.46625183065988907,0.0017628783865884243,0.9078591294964364,candidate,基准、ExposureGroup-Year FE 与近端前趋势同时过关，可进入下一轮。
ConservAccrual,high_lev_pre,main_fe,ok,0.007143120550562037,0.005921814294490711,1.2062385267987132,0.2288434668840389,,26541,595,406,0.01843847200569358,False,0.0006035121635313601,0.9162833579420671,,26541,595,406,,,,,,,,,no_signal,当前本地数据下没有可用信号。
ConservAccrual,natural_highlev_pre,main_fe,ok,0.01394509431047684,0.005492061889258955,2.5391364102705793,0.01170764992145612,**,26541,400,406,0.01843847200569358,False,0.004873391601407488,0.41087100689578615,,26541,400,406,,,,,,,,,base_only,只有基准显著，不能直接写。
ConservAccrual,private_highlev_pre,main_fe,ok,0.01339047789779354,0.004942645395299285,2.7091722806027287,0.007202222610153131,***,26541,410,406,0.01843847200569358,False,0.004922691218270455,0.3732363594469801,,26541,410,406,0.5288839847901476,0.276144283344667,0.001613089710845872,0.8725501275942249,0.005950279340213658,0.5237940734170548,-0.003836076857514107,0.7239598773856684,fragile_candidate,基准和近端前趋势有信号，但严格趋势控制未稳住。
