policy,exposure,outcome,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,x_mean,n
pb_narrow,natural_pre,Lev,ok,0.007801101984081462,0.0065076024650108305,1.1987674456184654,0.2317312157219389,,26541.0,997.0,406.0,0.43810332700529503,0.03756452281375984,
pb_narrow,high_lev_pre,AuditFee,ok,-0.0008354985558119883,0.015568061756900956,-0.0536674744010205,0.9572421175177652,,26490.0,594.0,406.0,13.99898005736616,0.022423556058890147,
pb_narrow,high_lev_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_narrow,high_lev_pre,InvestIneff,ok,0.006526382950863183,0.004070414149451459,1.603370740970596,0.11015178881840404,,22884.0,571.0,397.0,0.06884132895139639,0.0249519314805104,
pb_narrow,high_lev_pre,NCSKEW,ok,0.08575859442353241,0.031146037520326568,2.753435147811805,0.006321515064529271,***,26541.0,595.0,406.0,-0.6896997822213247,0.022418145510719266,
pb_narrow,high_lev_pre,DUVOL,ok,0.01789769438785265,0.008719805617930211,2.0525336426135796,0.04113855896905516,**,26541.0,595.0,406.0,-0.46108389944967165,0.022418145510719266,
pb_narrow,high_lev_pre,short_liab_ratio,ok,0.026496720391226775,0.00977579416417949,2.7104417243476933,0.007175494634773294,***,26541.0,595.0,406.0,0.8047610984859852,0.022418145510719266,
pb_narrow,high_lev_pre,Lev,ok,-0.03430902533720601,0.008602559393846779,-3.988234636513699,8.700797835592411e-05,***,26541.0,595.0,406.0,0.43810332700529503,0.022418145510719266,
pb_narrow,private_highlev_pre,AuditFee,ok,0.012388407072215215,0.011091132933388018,1.1169649797381807,0.2650606148349557,,26490.0,409.0,406.0,13.99898005736616,0.015439788599471498,
pb_narrow,private_highlev_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_narrow,private_highlev_pre,InvestIneff,ok,0.008494869488922564,0.004542596046177971,1.8700473039133514,0.06267961249163645,*,22884.0,396.0,397.0,0.06884132895139639,0.0173046670162559,
pb_narrow,private_highlev_pre,NCSKEW,ok,0.05518631319609902,0.0321793388306871,1.714961065125174,0.08756721402100998,*,26541.0,410.0,406.0,-0.6896997822213247,0.015447797746882182,
pb_narrow,private_highlev_pre,DUVOL,ok,0.01304147335149564,0.01159522436724552,1.1247279861470831,0.2617618926443499,,26541.0,410.0,406.0,-0.46108389944967165,0.015447797746882182,
pb_narrow,private_highlev_pre,short_liab_ratio,ok,0.038737294207554306,0.013155416170602662,2.944589035055948,0.003532394513259929,***,26541.0,410.0,406.0,0.8047610984859852,0.015447797746882182,
pb_narrow,private_highlev_pre,Lev,ok,-0.026292962731019696,0.006074398408076513,-4.328488348090669,2.1582725919788714e-05,***,26541.0,410.0,406.0,0.43810332700529503,0.015447797746882182,
pb_narrow,natural_highlev_pre,AuditFee,ok,0.009918133924781754,0.007813986612460563,1.269279615729801,0.20549859141458415,,26490.0,399.0,406.0,13.99898005736616,0.01506228765571914,
