outcome,exposure,event,term,coef,se_city_cluster,t,p,sig,ci_low,ci_high,n_input,clusters_city
EarnQualAbs,natural_highlev_pre,<=-4,es_lead4m_natural_highlev_pre,-0.0026090711205056997,0.0018924448493023033,-1.3786774930152381,0.1692216753432798,,-0.006336165983421134,0.001118023742409735,25078,403
EarnQualAbs,natural_highlev_pre,-3,es_lead3_natural_highlev_pre,-0.0013445486957859817,0.0065706467269731035,-0.20462958239201734,0.8380273748096327,,-0.014285176091697785,0.011596078700125821,25078,403
EarnQualAbs,natural_highlev_pre,-2,es_lead2_natural_highlev_pre,-0.012809609608151114,0.0031849386289296423,-4.021932947717747,7.641278511050231e-05,***,-0.019082219563976762,-0.006536999652325465,25078,403
EarnQualAbs,natural_highlev_pre,0,es_event0_natural_highlev_pre,0.0023757439867130173,0.0030441228255070354,0.7804363105215074,0.43586946870201526,,-0.003619534844907241,0.008371022818333275,25078,403
EarnQualAbs,natural_highlev_pre,+1,es_lag1_natural_highlev_pre,0.006199269113128728,0.004951559002056538,1.2519832865879166,0.21174135560129814,,-0.0035526294041736206,0.015951167630431078,25078,403
EarnQualAbs,natural_highlev_pre,>=+2,es_lag2p_natural_highlev_pre,0.003257266367029364,0.006222249185898655,0.5234869690547326,0.6010972803153822,,-0.00899720592847374,0.015511738662532467,25078,403
InvestIneff,failure_cost_pre,<=-4,es_lead4m_failure_cost_pre,-0.039933800817652375,0.01506630026967468,-2.6505379623974963,0.008564259657740658,***,-0.06961101332265558,-0.010256588312649164,22884,397
InvestIneff,failure_cost_pre,-3,es_lead3_failure_cost_pre,-0.012456435952363534,0.012847140135466659,-0.9695882368384445,0.33321584564151197,,-0.037762403645653926,0.012849531740926859,22884,397
InvestIneff,failure_cost_pre,-2,es_lead2_failure_cost_pre,-0.021462911621074946,0.015532754188006233,-1.3817840262770489,0.16830702264156905,,-0.05205893311105372,0.009133109868903835,22884,397
InvestIneff,failure_cost_pre,0,es_event0_failure_cost_pre,0.0003479670086446216,0.012627076810620119,0.027557210102021456,0.9780379278186648,,-0.02452452558199077,0.02522045959928001,22884,397
