spec,exposure,y_name,coef,se,t_stat,p_value,N,positives,sig_10,sig_05,sig_01
industry_2024_fe,dx_wany17,strict_noinst_share,.0009843838435197,.00047557798,2.0698683,.039169606,19218,1937,1,1,0
industry_year_fe,dx_wany17,strict_noinst_share,.0004164247001469,.00048285801,.86241651,.38902619,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,strict_noinst_share,.0020009260871027,.00057116448,3.5032396,.00051686709,19222,1129,1,1,1
baseline,dx_wstr17,strict_noinst_share,.0020543663074023,.00060199847,3.4125774,.00071587315,19222,1129,1,1,1
cityyear_prewashyear_fe,dx_wstr17,strict_noinst_share,.0011422473787013,.00063027098,1.8123115,.071253501,18296,1129,1,0,0
drop_year_2024,dx_wstr17,strict_noinst_share,.0022199775433193,.0005110965,4.3435583,.000018215165,16529,1129,1,1,1
industry_2024_fe,dx_wstr17,strict_noinst_share,.0018421171549536,.00053395354,3.4499576,.000626439,19218,1129,1,1,1
industry_year_fe,dx_wstr17,strict_noinst_share,.0006987102051436,.00056374253,1.2394136,.21599086,19200,1129,0,0,0
add_prewash_x_2024,dx_wany17,verif_noinst_kw,.0076140279605462,.0042340229,1.7982963,.072958484,19222,1937,1,0,0
baseline,dx_wany17,verif_noinst_kw,.0084708034250087,.0044840993,1.8890759,.059676327,19222,1937,1,0,0
cityyear_prewashyear_fe,dx_wany17,verif_noinst_kw,.0061599381998647,.0038035633,1.6195178,.10671824,18296,1937,0,0,0
drop_year_2024,dx_wany17,verif_noinst_kw,.0076253914014082,.0041786851,1.8248304,.068848372,16529,1937,1,0,0
industry_2024_fe,dx_wany17,verif_noinst_kw,.007066736875754,.0042066257,1.6799062,.093833551,19218,1937,1,0,0
industry_year_fe,dx_wany17,verif_noinst_kw,.0034156185935052,.0038659237,.88351941,.37753886,19200,1937,0,0,0
add_prewash_x_2024,dx_wstr17,verif_noinst_kw,.0156747423789957,.0055026067,2.848603,.0046406379,19222,1129,1,1,1
