exposure,y_family,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wstr,capital_allocation,InvestIneff,2021,-.0018126451153242,.0027035957,-.67045718,.50753087,19209,0,0,0
wstr,capital_allocation,InvestIneff,2023,-.0010385804638567,.0024915601,-.41683942,.67966831,19209,0,0,0
wstr,capital_allocation,InvestIneff,2024,-.0032009752181266,.0019520033,-1.6398411,.11114834,19209,0,0,0
wstr,financing_constraint,SA,2019,-.0027522041946508,.00099193456,-2.7745824,.0092800539,22096,1,1,1
wstr,financing_constraint,SA,2020,.001468648029654,.0012014763,1.2223696,.23078081,22096,0,0,0
wstr,financing_constraint,SA,2021,-.0007855412132992,.0011889181,-.66071939,.51367277,22096,0,0,0
wstr,financing_constraint,SA,2023,-.0029000645367442,.0017730853,-1.6356034,.11203745,22096,0,0,0
wstr,financing_constraint,SA,2024,-.002261537634964,.0025891066,-.87348187,.38911685,22096,0,0,0
wstr,investor_attention,InstHold,2019,-1.459879837045159,.45935878,-3.1780818,.0033501077,22080,1,1,1
wstr,investor_attention,InstHold,2020,-.7878165761427857,.27653033,-2.8489337,.0077250274,22080,1,1,1
wstr,investor_attention,InstHold,2021,-.3792128918282237,.27483678,-1.3797749,.17752753,22080,0,0,0
wstr,investor_attention,InstHold,2023,-.9274289349646847,.31930465,-2.9045269,.0067260256,22080,1,1,1
wstr,investor_attention,InstHold,2024,-1.65817333378819,.29838827,-5.5570998,4.3474802e-06,22080,1,1,1
wstr,investor_attention,InstStable,2019,-.3819470811328046,.28702521,-1.3307092,.19299053,22080,0,0,0
wstr,investor_attention,InstStable,2020,-.2556575853390498,.2320829,-1.1015787,.27912459,22080,0,0,0
wstr,investor_attention,InstStable,2021,-.3166499220690278,.15676852,-2.0198567,.052113298,22080,1,1,0
wstr,investor_attention,InstStable,2023,-.232433490107687,.21498795,-1.0811466,.28797114,22080,0,0,0
wstr,investor_attention,InstStable,2024,-.7275224422704686,.24168986,-3.0101488,.0051543475,22080,1,1,1
wstr,operating_resilience,CashFlowVol,2019,-.0007708207712582,.0024393552,-.31599364,.75412512,22096,0,0,0
wstr,operating_resilience,CashFlowVol,2020,-.0017612433962362,.0018346291,-.95999968,.34448367,22096,0,0,0
wstr,operating_resilience,CashFlowVol,2021,-.0005295673341375,.0014605154,-.36258933,.71937215,22096,0,0,0
wstr,operating_resilience,CashFlowVol,2023,-.0004816903038649,.0013004062,-.37041527,.71359211,22096,0,0,0
wstr,operating_resilience,CashFlowVol,2024,.0017283112810421,.002253836,.76683098,.44898283,22096,0,0,0
