exposure,y_family,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wstr,first_stage,score1,p3,-.4569399392754065,.10390192,-4.3978009,.000014226082,23524,1,1,1
wstr,first_stage,score2,m2,.0253192186326602,.029386783,.86158526,.38946056,23524,0,0,0
wstr,first_stage,score2,m3,.0716446021674294,.034380715,2.0838602,.037842281,23524,1,1,0
wstr,first_stage,score2,p0,.0178972324189774,.027689487,.64635479,.51844084,23524,0,0,0
wstr,first_stage,score2,p1,.0067557502309273,.039205544,.17231619,.86328095,23524,0,0,0
wstr,first_stage,score2,p2,-.116502412445567,.055913113,-2.0836332,.037863072,23524,1,1,0
wstr,first_stage,score2,p3,-.1073456277075571,.046555299,-2.3057659,.021662895,23524,1,1,0
wstr,first_stage,strict_at_d,m2,-.0083337648928227,.012205489,-.68278831,.49515775,23526,0,0,0
wstr,first_stage,strict_at_d,m3,-.0439314335281456,.018602278,-2.3616159,.018700575,23526,1,1,0
wstr,first_stage,strict_at_d,p0,.0051541598551218,.015098328,.34137288,.73301208,23526,0,0,0
wstr,first_stage,strict_at_d,p1,.0340415589129156,.017070504,1.9941741,.046849061,23526,1,1,0
wstr,first_stage,strict_at_d,p2,.033818145375281,.015673021,2.1577299,.031576592,23526,1,1,0
wstr,first_stage,strict_at_d,p3,.0396287683437594,.011079422,3.5767901,.00039289176,23526,1,1,1
wstr,first_stage,strict_at_kw,m2,-.0015350582047093,.0030902766,-.49673814,.61966175,23526,0,0,0
wstr,first_stage,strict_at_kw,m3,-.0061539240197599,.0031225444,-1.9708043,.049473561,23526,1,1,0
wstr,first_stage,strict_at_kw,p0,.0185509750726276,.0031437762,5.900857,8.0265297e-09,23526,1,1,1
wstr,first_stage,strict_at_kw,p1,.0281306307265473,.0060734591,4.6317315,4.9919572e-06,23526,1,1,1
wstr,first_stage,strict_at_kw,p2,.0360110680607623,.017845416,2.0179451,.044301167,23526,1,1,0
wstr,first_stage,strict_at_kw,p3,.0538307351115779,.011591668,4.6439161,4.7212161e-06,23526,1,1,1
wstr,mismatch_x,NarrHardGap_direct_v1,m2,.0199485154981477,.0071955072,2.7723572,.0058398955,23526,1,1,1
wstr,mismatch_x,NarrHardGap_direct_v1,m3,.0309321730268952,.013464115,2.297379,.022141455,23526,1,1,0
wstr,mismatch_x,NarrHardGap_direct_v1,p0,-.0327892554763928,.0075253714,-4.357161,.000016987386,23526,1,1,1
wstr,mismatch_x,NarrHardGap_direct_v1,p1,-.0642209380602153,.0094002308,-6.8318467,3.3536209e-11,23526,1,1,1
wstr,mismatch_x,NarrHardGap_direct_v1,p2,-.0717365794351192,.012438397,-5.7673492,1.6731313e-08,23526,1,1,1
wstr,mismatch_x,NarrHardGap_direct_v1,p3,-.0868156827067781,.0094172051,-9.2188368,2.1147226e-18,23526,1,1,1
wstr,mismatch_x,NarrHardHushing_direct_v1,m2,.0065099545017284,.0056313276,1.1560248,.24839923,23526,0,0,0
wstr,mismatch_x,NarrHardHushing_direct_v1,m3,.0239414550547554,.0067002727,3.5732059,.00039813179,23526,1,1,1
wstr,mismatch_x,NarrHardHushing_direct_v1,p0,.0066794205544611,.0062197889,1.0738983,.28355151,23526,0,0,0
wstr,mismatch_x,NarrHardHushing_direct_v1,p1,-.0153695806784962,.0073595904,-2.0883744,.03743099,23526,1,1,0
wstr,mismatch_x,NarrHardHushing_direct_v1,p2,-.00894945505752,.012223401,-.73215753,.46452492,23526,0,0,0
wstr,mismatch_x,NarrHardHushing_direct_v1,p3,.0043441049709984,.014101211,.3080661,.7582013,23526,0,0,0
wstr,mismatch_x,NarrHardVerified_direct_v1,m2,-.0164300536770747,.0081856754,-2.0071714,.045441013,23526,1,1,0
wstr,mismatch_x,NarrHardVerified_direct_v1,m3,-.0308362742583659,.0093039665,-3.3143146,.0010072106,23526,1,1,1
wstr,mismatch_x,NarrHardVerified_direct_v1,p0,-.0087323943615884,.0061126463,-1.4285784,.15394905,23526,0,0,0
