y_name,dropped_city,dropped_city_id,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
TobinQ,杭州,206,.0351808059271946,.0405486,.86762071,.38617519,18548,0,0,0
TobinQ,沈阳,239,.0381408800942486,.039013401,.97763538,.32890576,19080,0,0,0
TobinQ,深圳,263,.0465668397612104,.046871275,.99350488,.32112575,17785,0,0,0
TobinQ,福州,303,.0352107555731773,.039673369,.88751608,.37538874,18997,0,0,0
TobinQ,苏州,316,.0513583647849941,.037197124,1.380708,.1682183,18897,0,0,0
TobinQ,贵阳,341,.0374541578620038,.038763758,.96621591,.33457941,19132,0,0,0
TobinQ,郑州,359,.031485903857845,.038546082,.81683797,.41455677,19081,0,0,0
TobinQ,重庆,366,.0351097366237504,.039251186,.89448857,.37165323,18946,0,0,0
TobinQ,长春,378,.0369795528384458,.039024167,.94760644,.34396023,19078,0,0,0
TobinQ,长沙,379,.0518084921753004,.03743032,1.3841318,.16716847,18932,0,0,0
asset_trade_kw,上海,6,.0394235600303031,.019232804,2.0498083,.041101195,17762,1,1,0
asset_trade_kw,兰州,54,.0440211347382044,.016418757,2.681149,.0076718186,19109,1,1,1
asset_trade_kw,北京,64,.0298584556351663,.01552037,1.9238238,.055158336,17493,1,0,0
asset_trade_kw,南昌,72,.0443738110831254,.016485991,2.691607,.0074400087,19073,1,1,1
asset_trade_kw,合肥,82,.0460089678495804,.016538955,2.7818544,.0056871339,18979,1,1,1
asset_trade_kw,呼和浩特,89,.0441275636279,.016400272,2.6906605,.0074607288,19180,1,1,1
asset_trade_kw,天津,106,.0454751876320088,.016709115,2.7215796,.0068101841,18924,1,1,1
asset_trade_kw,太原,109,.0438063275154233,.01638338,2.6738272,.0078379577,19132,1,1,1
asset_trade_kw,广州,147,.0510915620010483,.015061192,3.3922653,.00076954794,18721,1,1,1
asset_trade_kw,德阳,164,.0437593084306802,.016349277,2.6765287,.007776286,19215,1,1,1
asset_trade_kw,无锡,188,.045018862578769,.016561259,2.7183237,.0068761911,19063,1,1,1
asset_trade_kw,昆明,191,.0439820040138927,.016371317,2.686528,.0075517893,19091,1,1,1
asset_trade_kw,杭州,206,.0363312580075587,.016875831,2.1528573,.031988315,18548,1,1,0
asset_trade_kw,沈阳,239,.0426784716395968,.016758097,2.5467372,.011285658,19080,1,1,0
asset_trade_kw,深圳,263,.0507985211376915,.016934767,2.9996586,.0028893887,17785,1,1,1
asset_trade_kw,福州,303,.0433091913027079,.016872862,2.5667958,.01066446,18997,1,1,0
asset_trade_kw,苏州,316,.0450288483127992,.016802514,2.6798878,.0077002114,18897,1,1,1
asset_trade_kw,贵阳,341,.0444873308390507,.016512498,2.6941612,.0073843622,19132,1,1,1
asset_trade_kw,郑州,359,.0438751303671234,.016582729,2.645833,.0085034315,19081,1,1,1
asset_trade_kw,重庆,366,.0453397002716257,.016659571,2.7215407,.0068109683,18946,1,1,1
asset_trade_kw,长春,378,.042918729875996,.016595259,2.5862041,.010092647,19078,1,1,1
asset_trade_kw,长沙,379,.0451123820560275,.016683478,2.7040155,.0071731638,18932,1,1,1
strict_at_kw,上海,6,.0151948947301216,.0071019055,2.1395519,.03305741,17762,1,1,0
strict_at_kw,兰州,54,.0165109677694194,.0059673865,2.7668674,.005949494,19109,1,1,1
strict_at_kw,北京,64,.0099027096159186,.0039876211,2.4833627,.013465637,17493,1,1,0
