policy,exposure,y_name,event_year,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
acct2024,wmaj,NarrHardGap_direct_v1,2022,.0253050993800559,.0051192464,4.94313,1.2591815e-06,17451,1,1,1
acct2024,wmaj,NarrHardGap_direct_v1,2024,-.0565402437713789,.0059230272,-9.5458355,4.1628854e-19,17451,1,1,1
acct2024,wmaj,NarrHardHushing_direct_v1,2021,.0222952015119935,.005144048,4.3341742,.00001977918,17451,1,1,1
acct2024,wmaj,NarrHardHushing_direct_v1,2022,.0021431326463621,.0046065436,.4652366,.64208764,17451,0,0,0
acct2024,wmaj,NarrHardHushing_direct_v1,2024,.0052183227717635,.004992174,1.0453007,.2966958,17451,0,0,0
acct2024,wmaj,NarrHardVerified_direct_v1,2021,.0023763778902112,.005975388,.39769432,.69112837,17451,0,0,0
acct2024,wmaj,NarrHardVerified_direct_v1,2022,-.0091564752927863,.0047960454,-1.9091718,.057160035,17451,1,0,0
acct2024,wmaj,NarrHardVerified_direct_v1,2024,.0162118548835925,.00543522,2.9827411,.0030827923,17451,1,1,1
acct2024,wmaj,NarrHardWashing_direct_v1,2021,-.0022291065057744,.012294374,-.18131109,.85624152,17451,0,0,0
acct2024,wmaj,NarrHardWashing_direct_v1,2022,.0777038195014409,.01325625,5.8616743,1.1685602e-08,17451,1,1,1
acct2024,wmaj,NarrHardWashing_direct_v1,2024,-.147753490833726,.014651588,-10.084469,7.0611990e-21,17451,1,1,1
acct2024,wstr,DU_kw,2021,-.3635578468978309,.05821332,-6.2452693,1.3875970e-09,17451,1,1,1
acct2024,wstr,DU_kw,2022,-.164014547624675,.043667924,-3.7559502,.00020611676,17451,1,1,1
acct2024,wstr,DU_kw,2024,-.0284054972784774,.053039987,-.53554875,.59265321,17451,0,0,0
acct2024,wstr,HardCap_direct_v1,2021,.0591772131295623,.011482192,5.1538258,4.5454780e-07,17451,1,1,1
acct2024,wstr,HardCap_direct_v1,2022,.025059815774657,.011315513,2.2146423,.02750927,17451,1,1,0
acct2024,wstr,HardCap_direct_v1,2024,.0680882942506657,.012888025,5.2830663,2.3935505e-07,17451,1,1,1
acct2024,wstr,NarrHardGap_direct_v1,2021,-.0045630186822581,.0061735106,-.73912865,.46038634,17451,0,0,0
acct2024,wstr,NarrHardGap_direct_v1,2022,.0036587546697285,.0046301624,.79020011,.43001303,17451,0,0,0
acct2024,wstr,NarrHardGap_direct_v1,2024,-.0369830093084746,.0061743711,-5.9897614,5.8009109e-09,17451,1,1,1
acct2024,wstr,NarrHardHushing_direct_v1,2021,.0192447011123796,.0042800326,4.4963913,9.7681022e-06,17451,1,1,1
