sample,outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign
all,risk_chars_ln,private_highlev_pre,main_fe,ok,0.24250680120501164,0.10838833754428676,2.237388327004508,0.026125256632304472,**,26541,410,406,5.131732949998318,1
all,risk_chars_ln,private_highlev_pre,plus_exposure_group_year_fe,ok,0.13206746519019621,0.1157348530067255,1.1411209480909057,0.2548901067975873,,26541,410,406,5.131732949998318,1
all,risk_detail_per10k,natural_pre,main_fe,ok,4.522709591736632,18.56688196061451,0.24359015161137718,0.8077441072053877,,26541,997,406,346.9243290147497,1
all,risk_detail_per10k,natural_pre,plus_exposure_group_year_fe,ok,-2.249447582070906,19.080156604889897,-0.11789460792446607,0.9062439756291025,,26541,997,406,346.9243290147497,1
all,risk_detail_per10k,failure_cost_pre,main_fe,ok,12.386802565882261,27.208253969557358,0.45525900264462205,0.649310298699695,,26541,1210,406,346.9243290147497,1
all,risk_detail_per10k,failure_cost_pre,plus_exposure_group_year_fe,ok,11.984360580578455,26.146895999452205,0.4583473533848735,0.6470932780236467,,26541,1210,406,346.9243290147497,1
all,risk_detail_per10k,private_pre,main_fe,ok,-1.7427091497807885,13.30756865261651,-0.13095623966126527,0.8959131797282964,,26541,972,406,346.9243290147497,1
all,risk_detail_per10k,private_pre,plus_exposure_group_year_fe,ok,-8.324474806463224,14.605131354946833,-0.5699691844020068,0.5692004059086795,,26541,972,406,346.9243290147497,1
all,risk_detail_per10k,high_lev_pre,main_fe,ok,18.839433706862376,16.692654623854818,1.1286062122162213,0.26012465803079454,,26541,595,406,346.9243290147497,1
all,risk_detail_per10k,high_lev_pre,plus_exposure_group_year_fe,ok,19.68634519838602,17.236327709873937,1.1421426611138623,0.25446603054542427,,26541,595,406,346.9243290147497,1
all,risk_detail_per10k,natural_highlev_pre,main_fe,ok,7.722731617453284,18.904526294135227,0.40851230532283245,0.6832404362338145,,26541,400,406,346.9243290147497,1
all,risk_detail_per10k,natural_highlev_pre,plus_exposure_group_year_fe,ok,5.965019507336364,19.545924281819836,0.3051797101702978,0.7604782366282039,,26541,400,406,346.9243290147497,1
all,risk_detail_per10k,private_highlev_pre,main_fe,ok,11.832340521150865,18.310796401008737,0.6461947510103397,0.5187343610673243,,26541,410,406,346.9243290147497,1
all,risk_detail_per10k,private_highlev_pre,plus_exposure_group_year_fe,ok,11.304963584884256,18.915384185821488,0.5976597394917403,0.5505973678388267,,26541,410,406,346.9243290147497,1
all,risk_category_count,natural_pre,main_fe,ok,-0.06204623729990416,0.07476215534314175,-0.8299150421108871,0.40736308336227567,,26541,997,406,2.562978033985155,1
all,risk_category_count,natural_pre,plus_exposure_group_year_fe,ok,-0.19880603402190117,0.09378787132945059,-2.1197414036997504,0.03499411186940171,**,26541,997,406,2.562978033985155,1
all,risk_category_count,failure_cost_pre,main_fe,ok,0.04675577685718451,0.14953463509547513,0.31267523291397875,0.7547829680784512,,26541,1210,406,2.562978033985155,1
all,risk_category_count,failure_cost_pre,plus_exposure_group_year_fe,ok,0.019182663288058097,0.14812181093840207,0.12950600027456724,0.8970593701470271,,26541,1210,406,2.562978033985155,1
all,risk_category_count,private_pre,main_fe,ok,0.018700051034393574,0.05174541149511466,0.3613856860749685,0.718110389163245,,26541,972,406,2.562978033985155,1
all,risk_category_count,private_pre,plus_exposure_group_year_fe,ok,-0.09555865162110873,0.08686989644534329,-1.1000203238555972,0.2723606383549133,,26541,972,406,2.562978033985155,1
all,risk_category_count,high_lev_pre,main_fe,ok,0.04655507325509561,0.11072530891697983,0.42045557344077406,0.6745067736296417,,26541,595,406,2.562978033985155,1
all,risk_category_count,high_lev_pre,plus_exposure_group_year_fe,ok,0.07020444479867836,0.10752967071825709,0.6528844023211409,0.5144189790618703,,26541,595,406,2.562978033985155,1
all,risk_category_count,natural_highlev_pre,main_fe,ok,-0.011772240555078107,0.17126983593261658,-0.0687350489417746,0.9452543863643434,,26541,400,406,2.562978033985155,1
all,risk_category_count,natural_highlev_pre,plus_exposure_group_year_fe,ok,-0.04362790399497683,0.16627933137757714,-0.26237719164211215,0.7932424940519107,,26541,400,406,2.562978033985155,1
all,risk_category_count,private_highlev_pre,main_fe,ok,0.0662867465878624,0.1449133110893296,0.4574234491612779,0.6477561880443221,,26541,410,406,2.562978033985155,1
all,risk_category_count,private_highlev_pre,plus_exposure_group_year_fe,ok,0.05407961758883257,0.14799092075398926,0.36542523901673063,0.7150969315109124,,26541,410,406,2.562978033985155,1
all,risk_debt_per10k,natural_pre,main_fe,ok,1.7062612079654138,1.0200763176080587,1.672679953953216,0.09561670456880744,*,26541,997,406,4.667098780491121,1
all,risk_debt_per10k,natural_pre,plus_exposure_group_year_fe,ok,0.6686753382647367,1.1907431782094884,0.5615613429507266,0.5749081222286017,,26541,997,406,4.667098780491121,1
all,risk_debt_per10k,failure_cost_pre,main_fe,ok,2.797584215877914,1.4669629240979094,1.9070585697305564,0.057636705200531546,*,26541,1210,406,4.667098780491121,1
all,risk_debt_per10k,failure_cost_pre,plus_exposure_group_year_fe,ok,3.0717680048935416,1.4893612244476766,2.0624734647786296,0.040175581166542296,**,26541,1210,406,4.667098780491121,1
all,risk_debt_per10k,private_pre,main_fe,ok,0.9012167498094766,0.6951038526986999,1.2965210109403875,0.19596809254605585,,26541,972,406,4.667098780491121,1
all,risk_debt_per10k,private_pre,plus_exposure_group_year_fe,ok,-0.13604964566225902,0.9081962127266796,-0.14980204030337987,0.8810392142556622,,26541,972,406,4.667098780491121,1
all,risk_debt_per10k,high_lev_pre,main_fe,ok,1.363715286875099,0.8160335065500862,1.671151093587353,0.0959185784639125,*,26541,595,406,4.667098780491121,1
all,risk_debt_per10k,high_lev_pre,plus_exposure_group_year_fe,ok,1.4606235360309645,0.8529715150667022,1.71239427135705,0.08803967796248502,*,26541,595,406,4.667098780491121,1
