sample,outcome,exposure,event,rel_year,coef,se_city_cluster,p,sig
all,risk_quality_index,private_highlev_pre,-2,-2,0.020526838846499224,0.040579665452295646,0.6134056045120435,
all,risk_quality_index,private_highlev_pre,0,0,0.046386296894922886,0.024767337562086662,0.06222882128918017,*
all,risk_quality_index,private_highlev_pre,+1,1,0.03869997146463662,0.0429419246639145,0.36832359450847285,
all,risk_quality_index,private_highlev_pre,>=+2,2,0.07837594781741967,0.0489260805970082,0.11041003649573677,
all,risk_specificity_index,natural_pre,<=-4,-4,0.004790147476361152,0.08791404144829137,0.9565900550876865,
all,risk_specificity_index,natural_pre,-3,-3,0.006439069733172293,0.06360916571026806,0.9194485053046999,
all,risk_specificity_index,natural_pre,-2,-2,0.057229851609605434,0.026192361255025748,0.029800630165268682,**
all,risk_specificity_index,natural_pre,0,0,-0.00930472677457655,0.04556964884081646,0.8383702903797405,
all,risk_specificity_index,natural_pre,+1,1,-0.04092077706233536,0.04349612378451572,0.34770214698688395,
all,risk_specificity_index,natural_pre,>=+2,2,-0.028093062805724822,0.040199718264665896,0.48529058883281495,
all,risk_specificity_index,failure_cost_pre,<=-4,-4,0.0023242150256535714,0.12773285591144598,0.9854967976235269,
all,risk_specificity_index,failure_cost_pre,-3,-3,0.03893213521736023,0.0671266294711606,0.5624398754776894,
all,risk_specificity_index,failure_cost_pre,-2,-2,0.039885363428003195,0.0472235406436528,0.39912164630786195,
all,risk_specificity_index,failure_cost_pre,0,0,0.05011693209077314,0.04661343157095931,0.2833190025685661,
all,risk_specificity_index,failure_cost_pre,+1,1,0.014150873687427982,0.04399158662889715,0.7479645054124378,
all,risk_specificity_index,failure_cost_pre,>=+2,2,0.057067936923835175,0.05547761391106811,0.30461136428879154,
all,risk_specificity_index,high_lev_pre,<=-4,-4,0.004183399434361906,0.055488381176777624,0.9399616585378483,
all,risk_specificity_index,high_lev_pre,-3,-3,-0.023003877111723185,0.07952318788287176,0.7726078436478698,
all,risk_specificity_index,high_lev_pre,-2,-2,-0.019462697023454344,0.03374293219981385,0.5645879174572741,
all,risk_specificity_index,high_lev_pre,0,0,0.043005707389111414,0.026669371691690844,0.10807910041426161,
all,risk_specificity_index,high_lev_pre,+1,1,0.07878801589336577,0.02732885029054581,0.004275575431466061,***
all,risk_specificity_index,high_lev_pre,>=+2,2,0.10755967705619979,0.053757650717882244,0.046471186466199965,**
all,risk_specificity_index,natural_highlev_pre,<=-4,-4,0.03566713935184966,0.10746388005552802,0.7402382625830881,
all,risk_specificity_index,natural_highlev_pre,-3,-3,-0.03095441991778576,0.041418652111929355,0.45553813347020133,
all,risk_specificity_index,natural_highlev_pre,-2,-2,0.026232069796559263,0.02997233685076276,0.38228361044781645,
all,risk_specificity_index,natural_highlev_pre,0,0,0.019741275070162795,0.025390028395370835,0.4375723081729279,
all,risk_specificity_index,natural_highlev_pre,+1,1,0.01120800548024596,0.03779985279745868,0.7670825683768436,
all,risk_specificity_index,natural_highlev_pre,>=+2,2,0.06958191924685524,0.06303915766995394,0.27072524927343533,
all,risk_specificity_index,private_pre,<=-4,-4,0.0492644427386596,0.07066854396216143,0.48636286101214665,
all,risk_specificity_index,private_pre,-3,-3,0.10775790106234813,0.05526720943095521,0.05230049815460336,*
all,risk_specificity_index,private_pre,-2,-2,0.08660773274434544,0.02308206595611846,0.00021708428539413127,***
all,risk_specificity_index,private_pre,0,0,0.02704321937171804,0.048686938607066535,0.579073028489665,
all,risk_specificity_index,private_pre,+1,1,-0.012658622790894435,0.03128508476335238,0.6860948267087243,
all,risk_specificity_index,private_pre,>=+2,2,0.01703848008601959,0.05135418281345818,0.7403251324456641,
all,risk_specificity_index,private_highlev_pre,<=-4,-4,0.033929169650557235,0.10088359843798299,0.7369061753123929,
all,risk_specificity_index,private_highlev_pre,-3,-3,-0.0048509176956512984,0.04122647286530954,0.9064256352575482,
all,risk_specificity_index,private_highlev_pre,-2,-2,0.02302544617750588,0.03329098129200426,0.4897913055091636,
all,risk_specificity_index,private_highlev_pre,0,0,0.030314945633178537,0.021039920311118288,0.15085950126715386,
all,risk_specificity_index,private_highlev_pre,+1,1,0.03277762277491133,0.034943001201276545,0.34911601322275754,
all,risk_specificity_index,private_highlev_pre,>=+2,2,0.08516253908397675,0.05750607872365315,0.1398594675566467,
all,has_risk_text,natural_pre,<=-4,-4,0.012882001993693923,0.04290011890161546,0.7642090522912226,
all,has_risk_text,natural_pre,-3,-3,-0.005922362140374981,0.028262720769852527,0.834188732864833,
all,has_risk_text,natural_pre,-2,-2,0.02199889091944404,0.02402296386241772,0.3606662226795472,
all,has_risk_text,natural_pre,0,0,0.057696890976098064,0.02171511114063244,0.008381710225025651,***
all,has_risk_text,natural_pre,+1,1,0.04540483467318368,0.02100808652157765,0.03160296832945031,**
all,has_risk_text,natural_pre,>=+2,2,0.05285914102234786,0.04927323357728013,0.28438581455343215,
all,has_risk_text,failure_cost_pre,<=-4,-4,0.012356488315649455,0.06359443715831899,0.8460945883448208,
all,has_risk_text,failure_cost_pre,-3,-3,0.0026943505716980534,0.024079048400635128,0.9109938516806007,
all,has_risk_text,failure_cost_pre,-2,-2,0.01683521065633034,0.04285180011409867,0.6947433091976842,
all,has_risk_text,failure_cost_pre,0,0,0.10934584361981206,0.029624592270026184,0.0002730911446831019,***
all,has_risk_text,failure_cost_pre,+1,1,0.07906585060269745,0.022903473965330302,0.0006509189894752243,***
all,has_risk_text,failure_cost_pre,>=+2,2,0.05178794456741931,0.05138086773725984,0.3144470073632226,
all,has_risk_text,high_lev_pre,<=-4,-4,-0.007003393187149852,0.025180189280033446,0.7811371244859995,
all,has_risk_text,high_lev_pre,-3,-3,0.005486090389546456,0.025740894663956734,0.8313978693213433,
all,has_risk_text,high_lev_pre,-2,-2,-0.007959703965070413,0.0137127599997754,0.5621172770518217,
all,has_risk_text,high_lev_pre,0,0,0.026603210099754665,0.0118603834108837,0.02575405659842067,**
all,has_risk_text,high_lev_pre,+1,1,0.011816691917360138,0.015315951088571981,0.44110812615804496,
all,has_risk_text,high_lev_pre,>=+2,2,0.01762610291451394,0.04917517163756559,0.7203143554418552,
all,has_risk_text,natural_highlev_pre,<=-4,-4,0.015911139218518416,0.047912561991197006,0.7400963623168071,
all,has_risk_text,natural_highlev_pre,-3,-3,0.001504769635238527,0.021387235401200293,0.9439636221329752,
all,has_risk_text,natural_highlev_pre,-2,-2,0.019772089727023327,0.019027067213786542,0.29971652735017695,
all,has_risk_text,natural_highlev_pre,0,0,0.05870006166741789,0.011799656251816884,1.2022929027910578e-06,***
all,has_risk_text,natural_highlev_pre,+1,1,0.029851779722359063,0.022068865734267674,0.17736089858945436,
all,has_risk_text,natural_highlev_pre,>=+2,2,0.03704965094529408,0.025470798660500824,0.14701169977306283,
all,has_risk_text,private_pre,<=-4,-4,0.005515843299543361,0.03834627145589752,0.8857380440487486,
all,has_risk_text,private_pre,-3,-3,0.02035675610932701,0.023710835214866666,0.3913993398113269,
all,has_risk_text,private_pre,-2,-2,0.03262155650155682,0.030746422214537696,0.2896996233678757,
all,has_risk_text,private_pre,0,0,0.08147726796573383,0.025369594169579672,0.0014894991067360142,***
all,has_risk_text,private_pre,+1,1,0.06384175097194021,0.023981383044512024,0.008258126674990374,***
all,has_risk_text,private_pre,>=+2,2,0.04659560234827289,0.05286257705978786,0.378905557534005,
all,has_risk_text,private_highlev_pre,<=-4,-4,0.002446227238786979,0.04145274520698381,0.952988426597696,
all,has_risk_text,private_highlev_pre,-3,-3,0.005713815060239318,0.02176920853161646,0.7931692291924151,
all,has_risk_text,private_highlev_pre,-2,-2,0.021459471867506817,0.01839746722134919,0.2445278501542767,
all,has_risk_text,private_highlev_pre,0,0,0.06877162815200062,0.012453854617641893,8.243279769892808e-08,***
all,has_risk_text,private_highlev_pre,+1,1,0.04306795699762509,0.022107795437963415,0.052501419584150666,*
all,has_risk_text,private_highlev_pre,>=+2,2,0.053357836222241536,0.02593656186148415,0.04067979128776722,**
